Local code,Reagent name,CAS number,Chemical category,Location,Observation,Available quantity,Total quantity,Container size
Mo-01,ACIDO FOSFOMOLIBDICO,51429-74-4,Compuestos de molibdeno,ESTANTE MADERA GRANDE,NULL,8.25 g,25 g,Pequeño
N-10,DI-TERC-BUTILDICARBONATO,24424-99-5,Nevera,NEVERA,NULL,55.00 g,100 g,Mediano
N-11,ANHIDRIDO ACETICO,108-24-7,Nevera,NEVERA,NULL,1 L,1 L,Grande
N-11,ANHIDRIDO ACETICO,108-24-7,Nevera,NEVERA,NULL,1 L,1 L,Grande
N-12,TRI-O-TOLUILFOSFINA,6163-58-2,Nevera,NEVERA,El frasco no tiene etiquetas oficiales.,10 g,10 g,Pequeño
N-13,2-PIRIDINCARBALDEHIDO,1121-60-4,Nevera,NEVERA,La etiqueta del frasco se encuentra sucia.,24.75 mL,50 mL,Mediano
N-14,2-BROMOACETOFENONA,70-11-1,Nevera,NEVERA,NULL,11.88 g,25 g,Pequeño-medio
N-15,N-BROMOSUCCINIMIDA,128-08-5,Nevera,NEVERA,NULL,175.00 g,250 g,Grande
N-15,N-BROMOSUCCINIMIDA,128-08-5,Nevera,NEVERA,NULL,56.25 g,250 g,Grande
N-16,CLOROMETIL-METIL ETER,107-30-2,Nevera,NEVERA,NULL,0.90 g,25 g,Pequeño
N-17,HEXAFLUOROFOSFATO DE 1-BUTIL-3-METILIMIDAZOLIO,99-021-1,Nevera,NEVERA,NULL,0.90 g,50 g,Pequeño
N-19,DAMINOZIDA,1596-84-5,Nevera,NEVERA,NULL,21.88 g,25 g,Pequeño
N-19,DAMINOZIDA,1596-84-5,Nevera,NEVERA,NULL,8.25 g,25 g,Pequeño
N-19,DAMINOZIDA,1596-84-5,Nevera,NEVERA,NULL,21.00 g,25 g,Pequeño
N-19,DAMINOZIDA,1596-84-5,Nevera,NEVERA,NULL,20.62 g,25 g,Pequeño
N-2,ESCUALENO,111-02-4*,Nevera,NEVERA,NULL,36.67 g,100 g,Medio-grande
N-2,ESCUALENO,111-02-4*,Nevera,NEVERA,NULL,247.50 g,500 g,Grande
N-20,"4,4-DIBROMOBENZIL",35578-47-3,Nevera,NEVERA,El frasco se encuentra sin abrir.,10 g,10 g,Pequeño
N-21,1-BROMO-4-TERBUTILBENCENO,3972-65-4,Nevera,NEVERA,NULL,1.75 mL,5 mL,Pequeño-medio
N-22,CLORODIFENILFOSFINA,1079-66-9,Nevera,NEVERA,NULL,9.17 mL,25 mL,Pequeño
N-23,2-TIOFENCARBALDEHIDO,98-03-3,Nevera,NEVERA,NULL,4.75 mL,20 mL,Mediano
N-24,TERC-BUTILDIMETIL CLORO SILANO,18162-48-6,Nevera,NEVERA,NULL,4.50 g,25 g,Pequeño-medio
N-24,TERC-BUTILDIMETIL CLORO SILANO,18162-48-6,Nevera,NEVERA,NULL,25 g,25 g,Pequeño-medio
N-25,CLORURO DE TRIMETILSILANO,75-77-4,Nevera,NEVERA,Frasco ámbar sin etiquetas.,4.50 mL,15 mL,Pequeño-medio
N-26,"TETRACLORHIDRATO DE 1,2,4,5-TETRAAMINOBENCENO",4506-66-5,Nevera,NEVERA,El frasco no. 6 está re-envasado sin etiquetas oficiales.,1 g,1 g,Muy pequeño
N-26,"TETRACLORHIDRATO DE 1,2,4,5-TETRAAMINOBENCENO",4506-66-5,Nevera,NEVERA,El frasco no. 6 está re-envasado sin etiquetas oficiales.,1 g,1 g,Muy pequeño
N-26,"TETRACLORHIDRATO DE 1,2,4,5-TETRAAMINOBENCENO",4506-66-5,Nevera,NEVERA,El frasco no. 6 está re-envasado sin etiquetas oficiales.,1 g,1 g,Muy pequeño
N-26,"TETRACLORHIDRATO DE 1,2,4,5-TETRAAMINOBENCENO",4506-66-5,Nevera,NEVERA,El frasco no. 6 está re-envasado sin etiquetas oficiales.,1 g,1 g,Muy pequeño
N-26,"TETRACLORHIDRATO DE 1,2,4,5-TETRAAMINOBENCENO",4506-66-5,Nevera,NEVERA,El frasco no. 6 está re-envasado sin etiquetas oficiales.,1 g,1 g,Muy pequeño
N-27, 1-BUTIL-4-METILPIRIDINIO TETRAFLUOROBORATO,343952-33-0,Nevera,NEVERA,NULL,20 mL,20 mL,Pequeño
N-28,CLORURO DE ACETILO,75-36-5,Nevera,NEVERA,"Frasco no .2 empacado en una lata grande con exterior oxidado, dicho frasco nuevo fue retirado de la lata",1 L,1 L,Grande
N-28,CLORURO DE ACETILO,75-36-5,Nevera,NEVERA,"Frasco no .2 empacado en una lata grande con exterior oxidado, dicho frasco nuevo fue retirado de la lata",1.80 mL,100 mL,Mediano
N-29,"3,4-DIBROMOTIOFENO",3140-92-9,Nevera,NEVERA,Re-envasado en un frasco ámbar sin etiquetas oficiales.,0.95 mL,5 mL,Pequeño
N-3,BROMO,7726-95-6,Nevera,NEVERA,"Los frascos no. 1 y 3 tienen las etiquetas deterioradas, el frasco no. 2 está empacado en una lata con el exterior oxidado.",NULL,NULL,Medio-grande
N-3,BROMO,7726-95-6,Nevera,NEVERA,"Los frascos no. 1 y 3 tienen las etiquetas deterioradas, el frasco no. 2 está empacado en una lata con el exterior oxidado.",NULL,NULL,Medio-grande
N-3,BROMO,7726-95-6,Nevera,NEVERA,"Los frascos no. 1 y 3 tienen las etiquetas deterioradas, el frasco no. 2 está empacado en una lata con el exterior oxidado.",250 mL,250 mL,Grande
N-30,INDENO,95-13-6,Nevera,NEVERA,Frasco con etiquetas dañadas.,3.67 mL,10 mL,Mediano
N-31,1-BROMO-3-CLOROBENCENO,108-37-2,Nevera,NEVERA,Frasco de reactivo con etiquetas dañadas.,0.90 mL,5 mL,Mediano
N-32,"2,3,4,5-TETRABROMOTIOFENO",3958-03-0,Nevera,NEVERA,Envasado en frasco de alimentos sin etiquetas.,NULL,10 g,Mediano
N-34,TIOFENO,110-02-1,Nevera,NEVERA,NULL,150.00 g,500 g,Grande
N-35,DIBENCILFOSFITO,26444-49-5,Nevera,NEVERA,NULL,1.58 g,5 g,Muy pequeño
N-37,L-PROLINA,15761-39-4,Nevera,NEVERA,NULL,0.05 g,1 g,Muy pequeño
N-38,4-ACETOXIESTIRENO,2628-16-2,Nevera,NEVERA,NULL,7.50 mL,25 mL,Pequeño
N-39,ESTIRENO,100-42-5,Nevera,NEVERA,NULL,3.50 L,4 L,Gigante
N-39,ESTIRENO,100-42-5,Nevera,NEVERA,NULL,49.50 mL,100 mL,Mediano
N-4,BROMURO DE BENCILO,100-39-0,Nevera,NEVERA,"El frasco se encuentra sin abrir, dentro de una lata sellada.",100 g,100 g,Mediano
N-40,"2,5-DIYODOTIOFENO",625-88-7,Nevera,NEVERA,Uno de los frascos tenía la etiqueta X-42 (se tiene que remover).,3.71 g,5 g,Pequeño
N-40,"2,5-DIYODOTIOFENO",625-88-7,Nevera,NEVERA,Uno de los frascos tenía la etiqueta X-42 (se tiene que remover).,5 g,5 g,Pequeño
N-41,2-YODOTIOFENO,3437-95-4,Nevera,NEVERA,NULL,7.50 g,25 g,Mediano
N-43,BENZONITRILO,100-47-0,Nevera,NEVERA,NULL,79.20 mL,100 mL,Mediano
N-44,SOLUCION BROMURO ETILMAGNESIO EN THF,925-90-6,Nevera,NEVERA,"Frasco sin destapar, está empacado en una lata sellada con exterior oxidado.",100 mL,100 mL,Mediano
N-45,PROPIONITRILO,107-12-0,Nevera,NEVERA,NULL,70.00 mL,100 mL,Mediano
N-46,DIISOBUTILALUMINIO HIDRURO 1M EN HEXANO,1191-15-7,Nevera,NEVERA,NULL,250 mL,250 mL,Medio-grande
N-47,ACIDO 3-CLOROPEROXIBENZOICO,937-14-4,Nevera,NEVERA,NULL,52.50 g,100 g,Mediano
N-47,ACIDO 3-CLOROPEROXIBENZOICO,937-14-4,Nevera,NEVERA,NULL,100 g,100 g,Medio-grande
N-49,ACIDO TRIDECANOICO,544-63-8,Nevera,NEVERA,NULL,19.80 g,25 g,Mediano
N-5,CLORURO DE TIONILO,07-09-19,Nevera,NEVERA,NULL,0.84 L,1 L,Grande
N-50,3-BROMOANISOL,2398-37-0,Nevera,NEVERA,NULL,7.50 g,25 g,Mediano
N-51,4-CLOROESTIRENO,1073-67-2,Nevera,NEVERA,NULL,3.50 g,10 g,Mediano
N-52,ACIDO ACRILICO,79-10-7,Nevera,NEVERA,Las etiquetas del frasco están deterioradas.,500 g,500 g,Grande
N-52,ACIDO ACRILICO,79-10-7,Nevera,NEVERA,Las etiquetas del frasco están deterioradas.,4.95 mL,100 mL,Mediano
N-53,DL-LACTIDA,95-96-5,Nevera,NEVERA,NULL,25 g,25 g,Pequeño-medio
N-54,YODOMETANO,74-88-4,Nevera,NEVERA,"Frasco sin destapar, está empacado en una lata sellada con exterior oxidado.",50 mL,50 mL,Mediano
N-56,n-BUTIL METACRILATO,97-88-1,Nevera,NEVERA,NULL,175.00 mL,500 mL,Grande
N-56,n-BUTIL METACRILATO,97-88-1,Nevera,NEVERA,NULL,100 mL,100 mL,Grande
N-57,n-BUTIL ACRILATO,141-32-2*,Nevera,NEVERA,NULL,225.00 mL,500 mL,Grande
N-58,METILMETACRILATO,80-62-6,Nevera,NEVERA,NULL,95.00 mL,200 mL,Medio-grande
N-58,METILMETACRILATO,80-62-6,Nevera,NEVERA,NULL,37.12 mL,50 mL,Pequeño
N-58,METILMETACRILATO,80-62-6,Nevera,NEVERA,NULL,275.00 mL,500 mL,Grande
N-58,METILMETACRILATO,80-62-6,Nevera,NEVERA,NULL,4 kg,4 kg,Gigante
N-59,2-(DIMETILAMINO)ETIL METACRILATO,2867-47-2,Nevera,NEVERA,NULL,84.00 mL,100 mL,Mediano
N-6,4-VINILPIRIDINA,100-43-6,Nevera,NEVERA,"El frasco está empacado en una bolsa con etiquetas, la bolsa se encuentra sucia.",55.00 mL,100 mL,Mediano
N-60,2-BROMOISOBUTIRIL BROMURO,20769-85-1,Nevera,NEVERA,El frasco no. 5 está sin destapar dentro de una bolsa resellabe con etiquetas.,45.00 g,100 g,Mediano
N-60,2-BROMOISOBUTIRIL BROMURO,20769-85-1,Nevera,NEVERA,El frasco no. 5 está sin destapar dentro de una bolsa resellabe con etiquetas.,66.00 g,100 g,Mediano
N-60,2-BROMOISOBUTIRIL BROMURO,20769-85-1,Nevera,NEVERA,El frasco no. 5 está sin destapar dentro de una bolsa resellabe con etiquetas.,52.50 g,100 g,Mediano
N-61,DECANAL,112-31-2,Nevera,NEVERA,NULL,20 g,20 g,Pequeño-medio
N-61,DECANAL,112-31-2,Nevera,NEVERA,NULL,433.12 mL,500 mL,Grande
N-62, BROMOACETALDEHIDO DIETIL ACETAL,2032-35-1,Nevera,NEVERA,NULL,5.50 g,10 g,Pequeño
N-63,(S)-(-) LIMONENO,5989-54-8,Nevera,NEVERA,NULL,12.38 g,50 g,Mediano
N-64,3-(TRIMETOXISILIL)PROPIL METACRILATO,2530-85-0,Nevera,NEVERA,NULL,35.00 mL,100 mL,Mediano
N-65,"N,N-DIISOPROPILCARBODIIMIDA",693-13-0,Nevera,NEVERA,NULL,9.17 mL,25 mL,Mediano
N-65,"N,N-DIISOPROPILCARBODIIMIDA",693-13-0,Nevera,NEVERA,NULL,27.50 g,100 g,Medio-grande
N-67,ACRILATO LAURILO,2156-97-0,Nevera,NEVERA,NULL,165.00 mL,500 mL,Grande
N-7,"n-BUTILITIO 2,5 M EN HEXANO",109-72-8,Nevera,NEVERA,"Los frascos están empacados en una caja protectora, este reactivo es de mucho cuidado para su manipulación.",5.62 mL,25 mL,Pequeño
N-7,"n-BUTILITIO 2,5 M EN HEXANO",109-72-8,Nevera,NEVERA,"Los frascos están empacados en una caja protectora, este reactivo es de mucho cuidado para su manipulación.",25 mL,25mL,Pequeño
N-7,"n-BUTILITIO 2,5 M EN HEXANO",109-72-8,Nevera,NEVERA,"Los frascos están empacados en una caja protectora, este reactivo es de mucho cuidado para su manipulación.",25 mL,25mL,Pequeño
N-7,"n-BUTILITIO 2,5 M EN HEXANO",109-72-8,Nevera,NEVERA,"Los frascos están empacados en una caja protectora, este reactivo es de mucho cuidado para su manipulación.",25 mL,25mL,Pequeño
N-71,ACIDO METACRILICO,79-41-4*,Nevera,NEVERA,NULL,158.33 g,500 g,Grande
N-72,4-BROMOESTIRENO,2039-82-9,Nevera,NEVERA,NULL,4.95 g,10 g,Pequeño
N-73,"3,4-ETILENDIOXITIOFENO",126213-50-1,Nevera,NEVERA,NULL,5.50 g,10 g,Pequeño
N-8,4-TOLUALDEHIDO,104-87-0,Nevera,NEVERA,NULL,131.25 mL,250 mL,Grande
N-9,ESCUALANO,111-01-3,Nevera,NEVERA,NULL,19.00 g,100 g,Medio-grande
N-9,ESCUALANO,111-01-3,Nevera,NEVERA,NULL,45.00 g,100 g,Medio-grande
N-99,SOLUCION BUFFER PATRON pH 7.00,NULL,Nevera,NEVERA,NULL,35 mL,35 mL,Mediano
N-99,SOLUCION BUFFER PATRON pH 7.00,NULL,Nevera,NEVERA,NULL,35 mL,35 mL,Mediano
Na-01,CARBONATO DE SODIO ANHIDRO,497-19-8,Compuestos de sodio,ESTANTE MADERA GRANDE,"Este reactivo es de mayor pureza, comparado con Na-08. El contenido del frasco 5 tiene aspecto de haberse contaminado, ya que el reactivo
parece una pasta sólida y rígida.",131.25 g,500 g,Muy grande
Na-01,CARBONATO DE SODIO ANHIDRO,497-19-8,Compuestos de sodio,ESTANTE MADERA GRANDE,"Este reactivo es de mayor pureza, comparado con Na-08. El contenido del frasco 5 tiene aspecto de haberse contaminado, ya que el reactivo
parece una pasta sólida y rígida.",396.00 g,500 g,Muy grande
Na-01,CARBONATO DE SODIO ANHIDRO,497-19-8,Compuestos de sodio,ESTANTE MADERA GRANDE,"Este reactivo es de mayor pureza, comparado con Na-08. El contenido del frasco 5 tiene aspecto de haberse contaminado, ya que el reactivo
parece una pasta sólida y rígida.",0.74 kg,1 kg,Muy grande
Na-01,CARBONATO DE SODIO ANHIDRO,497-19-8,Compuestos de sodio,ESTANTE MADERA GRANDE,"Este reactivo es de mayor pureza, comparado con Na-08. El contenido del frasco 5 tiene aspecto de haberse contaminado, ya que el reactivo
parece una pasta sólida y rígida.",0.66 kg,1 kg,Muy grande
Na-01,CARBONATO DE SODIO ANHIDRO,497-19-8,Compuestos de sodio,ESTANTE MADERA GRANDE,"Este reactivo es de mayor pureza, comparado con Na-08. El contenido del frasco 5 tiene aspecto de haberse contaminado, ya que el reactivo
parece una pasta sólida y rígida.",500 g,500 g,Muy grande 
Na-02,ACETATO DE SODIO,127-09-3,Compuestos de sodio,ESTANTE MADERA GRANDE,Los frascos 1 y 2 no tienen etiquetas.,247.50 g,300 g,Muy grande
Na-02,ACETATO DE SODIO,127-09-3,Compuestos de sodio,ESTANTE MADERA GRANDE,Los frascos 1 y 2 no tienen etiquetas.,9.00 g,50 g,Mediano
Na-02,ACETATO DE SODIO,127-09-3,Compuestos de sodio,ESTANTE MADERA GRANDE,Los frascos 1 y 2 no tienen etiquetas.,2.20 kg,3 kg,Gigante
Na-04,SULFATO DE SODIO,7757-82-6,Compuestos de sodio,ESTANTE MADERA GRANDE,NULL,165.00 g,500 g,Grande
Na-05,SULFATO DE SODIO ANHIDRO,7757-82-6*,Compuestos de sodio,ESTANTE MADERA GRANDE,NULL,330.00 g,500 g,Grande
Na-06,SULFITO DE SODIO,7757-83-7,Compuestos de sodio,ESTANTE MADERA GRANDE,NULL,225.00 g,500 g,Grande
Na-07,BISULFITO DE SODIO,7631-90-5,Compuestos de sodio,ESTANTE MADERA GRANDE,NULL,0.49 kg,1 kg,Grande
Na-08,CARBONATO DE SODIO,497-19-8*,Compuestos de sodio,ESTANTE MADERA GRANDE,El frasco 1 no tiene etiqueta.,0.02 kg,1 kg,Grande
Na-08,CARBONATO DE SODIO,497-19-8*,Compuestos de sodio,ESTANTE MADERA GRANDE,El frasco 1 no tiene etiqueta.,0.55 kg,1 kg,Grande 
Na-09,BICARBONATO DE SODIO,144-55-8,Compuestos de sodio,ESTANTE MADERA GRANDE,NULL,0.82 kg,1 kg,Muy grande
Na-10,HIDROXIDO DE SODIO,1310-73-2,Compuestos de sodio,ESTANTE MADERA GRANDE,NULL,0.10 kg,1 kg,Muy grande
Na-11,ORTOFOSFATO DE SODIO,10049-21-5,Compuestos de sodio,ESTANTE MADERA GRANDE,NULL,500 g,500 g,Grande
Na-12,CLORURO DE SODIO,7647-14-5,Compuestos de sodio,ESTANTE MADERA GRANDE,La pureza del reactivo en el frasco 2 es de carácter analítico (99.5% pureza).,0.04 kg,1 kg,Muy grande
Na-12,CLORURO DE SODIO,7647-14-5,Compuestos de sodio,ESTANTE MADERA GRANDE,La pureza del reactivo en el frasco 2 es de carácter analítico (99.5% pureza).,1 kg,1 kg,Grande
Na-13,DITIONITO DE SODIO,7775-14-6,Compuestos de sodio,ESTANTE MADERA GRANDE,NULL,264.00 g,400 g,Medio-grande
Na-14,YODURO DE SODIO,7681-82-5,Compuestos de sodio,ESTANTE MADERA GRANDE,NULL,37.12 g,50 g,Pequeño-medio
Na-15,DIETILDITIOCARBAMATO DE SODIO, 148-18-5,Compuestos de sodio,NEVERA,NULL,NULL,100 g,Mediano
Na-16,DICROMATO DE SODIO,10588-01-9,Compuestos de sodio,ESTANTE MADERA GRANDE,NULL,37.12 g,150 g,Medio-grande
Na-17,METABISULFITO DE SODIO,7681-57-4,Compuestos de sodio,ESTANTE MADERA GRANDE,NULL,0.79 lb,1 lb,Grande
Na-18,WOLFRAMATO DE SODIO,10213-10-2,Compuestos de sodio,ESTANTE MADERA GRANDE,NULL,100 g,100 g,Pequeño-medio
Na-19,TETRAFLUOROBORATO DE SODIO,13755-29-8,Compuestos de sodio,ESTANTE MADERA GRANDE,NULL,82.50 g,250 g,Grande
Na-20,BORATO DE SODIO,1303-96-4,Compuestos de sodio,ESTANTE MADERA GRANDE,NULL,0.88 lb,1 lb,Grande
Na-22,SALICILATO DE SODIO,54-21-7,Compuestos de sodio,ESTANTE MADERA GRANDE,NULL,148.50 g,300 g,Muy grande
Na-23,TIOSULFATO DE SODIO,7772-98-7,Compuestos de sodio,ESTANTE MADERA GRANDE,NULL,0.25 lb,1 lb,Grande
Na-23,TIOSULFATO DE SODIO,7772-98-7,Compuestos de sodio,ESTANTE MADERA GRANDE,NULL,0.37 kg,1 kg,Muy grande
Na-24,METAPERYODATO DE SODIO,7790-28-5,Compuestos de sodio,ESTANTE MADERA GRANDE,NULL,79.20 g,100 g,Pequeño-medio
Na-24,METAPERYODATO DE SODIO,7790-28-5,Compuestos de sodio,ESTANTE MADERA GRANDE,NULL,79.20 g,100 g,Pequeño-medio
Na-25,BROMATO DE SODIO,7789-38-0,Compuestos de sodio,ESTANTE MADERA GRANDE,NULL,500 g,500 g,Pequeño-medio
Na-26,PERSULFATO DE SODIO,7775-27-1,Compuestos de sodio,ESTANTE MADERA GRANDE,NULL,500 g,500 g,Grande
Na-27,BOROHIDRURO DE SODIO,16940-66-2,Compuestos de sodio,ESTANTE MADERA GRANDE,NULL,78.75 g,100 g,Medio-grande
Na-27,BOROHIDRURO DE SODIO,16940-66-2,Compuestos de sodio,ESTANTE MADERA GRANDE,NULL,24.75 g,100 g,Medio-grande
Na-27,BOROHIDRURO DE SODIO,16940-66-2,Compuestos de sodio,ESTANTE MADERA GRANDE,NULL,79.20 g,100 g,Grande 
Na-27,BOROHIDRURO DE SODIO,16940-66-2,Compuestos de sodio,ESTANTE MADERA GRANDE,NULL,82.50 g,100 g,Medio-grande
Na-28,SODIO METALICO,7440-23-5,Compuestos de sodio,ESTANTE MADERA GRANDE,El frasco 1 parece estar vacío y no tiene rótulos.,19.80 g,100 g,Grande
Na-28,SODIO METALICO,7440-23-5,Compuestos de sodio,ESTANTE MADERA GRANDE,El frasco 1 parece estar vacío y no tiene rótulos.,0 g,100 g,Grande
Na-28,SODIO METALICO,7440-23-5,Compuestos de sodio,ESTANTE MADERA GRANDE,El frasco 1 parece estar vacío y no tiene rótulos.,0.99 g,100 g,Grande
Na-29,NITRITO DE SODIO,7632-00-0,Compuestos de sodio,ESTANTE MADERA GRANDE,El frasco 3 es un frasco de vidrio con apariencia de recipiente de residuos.,371.25 g,500 g,Muy grande
Na-29,NITRITO DE SODIO,7632-00-0,Compuestos de sodio,ESTANTE MADERA GRANDE,El frasco 3 es un frasco de vidrio con apariencia de recipiente de residuos.,371.25 g,500 g,Grande
Na-29,NITRITO DE SODIO,7632-00-0,Compuestos de sodio,ESTANTE MADERA GRANDE,El frasco 3 es un frasco de vidrio con apariencia de recipiente de residuos.,0.66 kg,1 kg,Muy grande
Na-30,ARSENITO DE SODIO,7784-46-5,Compuestos de sodio,ESTANTE MADERA GRANDE,NULL,500 g,500 g,Grande
Na-31,CAL SODADA,8006-28-8,Compuestos de sodio,ESTANTE MADERA GRANDE,NULL,500 g,500 g,Grande
Na-33,NITRATO DE SODIO,7631-99-4,Compuestos de sodio,ESTANTE MADERA GRANDE,NULL,79.20 g,100 g,Mediano
Na-34,FLUORURO DE SODIO,7681-49-4,Compuestos de sodio,ESTANTE MADERA GRANDE,NULL,99.00 g,200 g,Medio-grande
Na-35,TETRABORATO DE SODIO,1330-43-4,Compuestos de sodio,ESTANTE MADERA GRANDE,NULL,440.00 g,500 g,Grande
Na-36,HIDRURO DE SODIO,7646-69-7,Compuestos de sodio,ESTANTE MADERA GRANDE,Dispersión al 57-63% en aceite mineral.,75 g,100 g,Medio-grande
Na-37,CLOROACETATO DE SODIO,3926-62-3,Compuestos de sodio,ESTANTE MADERA GRANDE,"Ningún frasco tiene rótulos claros, están en frascos de muestra.",15 g,40 g,Pequeño-medio
Na-37,CLOROACETATO DE SODIO,3926-62-3,Compuestos de sodio,ESTANTE MADERA GRANDE,"Ningún frasco tiene rótulos claros, están en frascos de muestra.",20 g,30 g,Pequeño
Na-38,PERCLORATO DE SODIO HIDRATO,207683-20-3,Compuestos de sodio,ESTANTE MADERA GRANDE,NULL,330.00 g,500 g,Medio-grande
Na-39,DIHIDROGENOFOSFATO DE SODIO DIHIDRATADO,10028-24-7,Compuestos de sodio,ESTANTE MADERA GRANDE,NULL,0.88 kg,1 kg,Grande
Na-39,DIHIDROGENOFOSFATO DE SODIO DIHIDRATADO,10028-24-7,Compuestos de sodio,ESTANTE MADERA GRANDE,NULL,0.88 kg,1 kg,Grande
Na-40,LAURILSULFATO DE SODIO ,151-21-3,Compuestos de sodio,ESTANTE MADERA GRANDE,NULL,396.00 g,500 g,Grande
Na-40,LAURILSULFATO DE SODIO ,151-21-3,Compuestos de sodio,ESTANTE MADERA GRANDE,NULL,396.00 g,500 g,Grande
Na-40,LAURILSULFATO DE SODIO ,151-21-3,Compuestos de sodio,ESTANTE MADERA GRANDE,NULL,71.28 g,90 g,Mediano
Na-42,AZIDA DE SODIO,26628-22-8,Compuestos de sodio,ESTANTE MADERA GRANDE,NULL,80 g,80 g,Medio-grande
Na-43,BROMURO DE SODIO,7647-15-6,Compuestos de sodio,ESTANTE MADERA GRANDE,NULL,250 g,250 g,Grande
Na-45,DIHIDROGENOFOSFATO DE SODIO ANHIDRO,7558-79-4,Compuestos de sodio,ESTANTE MADERA GRANDE,NULL,412.50 g,500 g,Muy grande
Na-45,DIHIDROGENOFOSFATO DE SODIO ANHIDRO,7558-79-4,Compuestos de sodio,ESTANTE MADERA GRANDE,NULL,371.25 g,500 g,Muy grande
Na-46,CLORITO DE SODIO,7758-19-2,Compuestos de sodio,ESTANTE MADERA GRANDE,El reactivo se encuentra en una disolución al 25% en agua.,1 L,1 L,Muy grande
NH4-01,SULFATO DE AMONIO,7783-20-2,Sales de amonio,ESTANTE MADERA GRANDE,NULL,528.00 g,800 g,Muy grande
NH4-01,SULFATO DE AMONIO,7783-20-2,Sales de amonio,ESTANTE MADERA GRANDE,NULL,66.00 g,100 g,Mediano
NH4-02,ACETATO DE AMONIO,631-61-8,Sales de amonio,ESTANTE MADERA GRANDE,NULL,118.75 g,500 g,Mediano
NH4-02,ACETATO DE AMONIO,631-61-8,Sales de amonio,ESTANTE MADERA GRANDE,NULL,1 kg,1 kg,Muy grande
NH4-04,CLORURO DE AMONIO,12125-02-9,Sales de amonio,ESTANTE MADERA GRANDE,NULL,0.33 kg,1 kg,Muy grande
NH4-07,SULFOCIANURO AMONICO,1762-95-4,Sales de amonio,ESTANTE MADERA GRANDE,NULL,74.25 g,150 g,Mediano
NH4-08,NITRATO CERICO AMONICO,16774-21-3,Sales de amonio,ESTANTE MADERA GRANDE,NULL,4.50 g,25 g,Pequeño
NH4-09,FLUORURO DE TETRABUTILAMONIO,87749-50-6,Sales de amonio,ESTANTE MADERA GRANDE,NULL,100 g,100 g,Grande
NH4-10,PEROXODISULFATO AMONICO,7727-54-0,Sales de amonio,ESTANTE MADERA GRANDE,NULL,100 g,100 g,Grande
Ni-01,CATALIZADOR DE NIQUEL-RANEY,12635-27-7,Compuestos de niquel,ESTANTE MADERA GRANDE,NULL,10 g,20 g,Pequeño-medio
Ni-02,SULFATO DE NIQUEL(II),7758-98-7,Compuestos de niquel,ESTANTE MADERA GRANDE,NULL,50 g,50 g,Pequeño
Ni-02,SULFATO DE NIQUEL(II),7758-98-7,Compuestos de niquel,ESTANTE MADERA GRANDE,NULL,50 g,50 g,Pequeño
Ni-03,"2,4-PENTANODIONATO DE NIQUEL(II)",54-64-8,Compuestos de niquel,ESTANTE MADERA GRANDE,NULL,18.56 g,25 g,Mediano
Ni-04,CLORURO DE NIQUEL HEXAHIDRATADO,7791-20-0,Compuestos de niquel,ESTANTE MADERA GRANDE,NULL,16.50 g,50 g,Mediano
Ni-04,CLORURO DE NIQUEL HEXAHIDRATADO,7791-20-0,Compuestos de niquel,ESTANTE MADERA GRANDE,NULL,24.75 g,50 g,Mediano
O-10,4-BROMOFENOL,106-41-2,Alcoholes y fenoles,ESTANTE MADERA GRANDE,NULL,67.50 g,100 g,Mediano
O-11,DIETILENGLICOL MONOMETIL ETER,111-77-3,Alcoholes y fenoles,ESTANTE MADERA GRANDE,NULL,262.50 mL,500 mL,Muy grande
O-12,4-BROMOTIOFENOL,106-53-6,Alcoholes y fenoles,ESTANTE MADERA GRANDE,NULL,1.24 g,5 g,Pequeño
O-13,DICLOROMETIL METIL ETER,03-02-85,Alcoholes y fenoles,ESTANTE MADERA GRANDE,NULL,18.56 mL,25 mL,Pequeño
O-14,2-NITROBENCIL ALCOHOL,612-25-9,Alcoholes y fenoles,ESTANTE MADERA GRANDE,NULL,18.56 g,25 g,Pequeño
O-15,ALMIDON SOLUBLE,9005-25-8,Alcoholes y fenoles,ESTANTE MADERA GRANDE,NULL,0.88 kg,1 kg,Grande
O-16,1-NAFTOL BENZEINA,145-50-6,Alcoholes y fenoles,ESTANTE MADERA GRANDE,NULL,5 g,5 g,Muy pequeño
O-17,PIROGALOL,87-66-1,Alcoholes y fenoles,ESTANTE MADERA GRANDE,NULL,330.00 g,500 g,Muy grande
O-18,"2,4,6-TRICLOROFENOL",88-06-2,Alcoholes y fenoles,ESTANTE MADERA GRANDE,NULL,0.60 kg,1 kg,Muy grande
O-18,"2,4,6-TRICLOROFENOL",88-06-2,Alcoholes y fenoles,ESTANTE MADERA GRANDE,NULL,0.49 kg,1 kg,Muy grande
O-19,1-NAFTOL,90-15-3,Alcoholes y fenoles,ESTANTE MADERA GRANDE,NULL,150.00 g,250 g,Grande
O-2,MONOOLEATO DE SORBITAN,9005-65-6,Alcoholes y fenoles,GAVETA BAJO ROTAVAPOR,NULL,0.53 L,1 L,Grande
O-20,2-CLOROETANOL,107-07-3,Alcoholes y fenoles,ESTANTE MADERA GRANDE,NULL,183.33 mL,250 mL,Medio-grande
O-21,5-ISOPROPIL-2-METILFENOL (CARVACROL),499-75-2 ,Alcoholes y fenoles,ESTANTE MADERA GRANDE,NULL,10 g,10 g,Grande
